Date,Amount,Description,Card,Category,Necessity
2023-08-29,49.43,mcdonald's,demo_card,Restaurants,Wants
2023-09-01,57.66,burger,demo_card,Restaurants,Wants
2023-09-02,63.25,massage,demo_card,Wellbeing/Health Care,Needs
2023-09-03,17.74,grill,demo_card,Restaurants,Wants
2023-09-04,16.46,burger,demo_card,Restaurants,Wants
2023-09-04,148.91,kin's farm,demo_card,Groceries,Needs
2023-09-05,18.69,pub,demo_card,Restaurants,Wants
2023-09-05,61.05,no frills,demo_card,Groceries,Needs
2023-09-05,33.01,cafe,demo_card,Restaurants,Wants
2023-09-06,58.56,gelato,demo_card,Restaurants,Wants
2023-09-06,26.08,persia foods,demo_card,Groceries,Needs
2023-09-07,49.07,dental,demo_card,Wellbeing/Health Care,Needs
2023-09-07,143.87,solo market,demo_card,Groceries,Needs
2023-09-08,11.04,mcdonald's,demo_card,Restaurants,Wants
2023-09-10,52.02,subway,demo_card,Restaurants,Wants
2023-09-11,23.34,uber eats,demo_card,Restaurants,Wants
2023-09-12,27.7,mcdonald's,demo_card,Restaurants,Wants
2023-09-13,108.01,east west market,demo_card,Groceries,Needs
2023-09-13,77.26,marketplace iga,demo_card,Groceries,Needs
2023-09-14,34.01,marketplace iga,demo_card,Groceries,Needs
2023-09-16,56.93,aritzia,demo_card,Shopping,Wants
2023-09-16,48.8,uber eats,demo_card,Restaurants,Wants
2023-09-18,97.63,pne,demo_card,Recreation/entertainment,Wants
2023-09-18,36.64,chai,demo_card,Restaurants,Wants
2023-09-18,130.87,t&t supermarket,demo_card,Groceries,Needs
2023-09-19,42.29,compass,demo_card,Transportation,Needs
2023-09-19,120.98,hmart,demo_card,Groceries,Needs
2023-09-21,35.69,tim hortons,demo_card,Restaurants,Wants
2023-09-22,131.61,loblaws,demo_card,Groceries,Needs
2023-09-24,173.7,amazon,demo_card,Shopping,Wants
2023-09-25,59.05,whole foods,demo_card,Groceries,Needs
2023-09-26,45.49,misc expense,demo_card,Miscellaneous,Wants
2023-09-26,80.13,persia foods,demo_card,Groceries,Needs
2023-09-27,26.02,misc expense,demo_card,Miscellaneous,Wants
2023-09-29,48.36,cactus club,demo_card,Restaurants,Wants
2023-09-30,114.82,walmart,demo_card,Groceries,Needs
2023-10-01,49.42,mcdonald's,demo_card,Restaurants,Wants
2023-10-01,92.48,amazon,demo_card,Shopping,Wants
2023-10-01,37.63,mobi,demo_card,Transportation,Needs
2023-10-02,20.99,esso,demo_card,Transportation,Needs
2023-10-02,132.81,marketplace iga,demo_card,Groceries,Needs
2023-10-03,68.34,real canadian superstore,demo_card,Groceries,Needs
2023-10-03,322.97,bc ferries,demo_card,Travel,Wants
2023-10-06,57.42,gelato,demo_card,Restaurants,Wants
2023-10-07,8.07,shell,demo_card,Transportation,Needs
2023-10-10,37.11,grill,demo_card,Restaurants,Wants
2023-10-10,20.38,physio,demo_card,Wellbeing/Health Care,Needs
2023-10-10,90.93,aritzia,demo_card,Shopping,Wants
2023-10-16,44.07,tim hortons,demo_card,Restaurants,Wants
2023-10-16,11.41,mobi,demo_card,Transportation,Needs
2023-10-18,35.75,taxi,demo_card,Transportation,Needs
2023-10-21,11.21,mobi,demo_card,Transportation,Needs
2023-10-21,4.46,transit,demo_card,Transportation,Needs
2023-10-21,58.84,pho,demo_card,Restaurants,Wants
2023-10-23,45.7,mcdonald's,demo_card,Restaurants,Wants
2023-10-25,43.03,physio,demo_card,Wellbeing/Health Care,Needs
2023-10-26,23.68,esso,demo_card,Transportation,Needs
2023-10-26,22.33,cineplex,demo_card,Recreation/entertainment,Wants
2023-10-27,81.17,uniqlo,demo_card,Shopping,Wants
2023-10-29,37.75,hotpot,demo_card,Restaurants,Wants
2023-10-29,16.21,taxi,demo_card,Transportation,Needs
2023-10-29,22.6,a&w,demo_card,Restaurants,Wants
2023-11-01,113.15,solo market,demo_card,Groceries,Needs
2023-11-01,31.37,ramen,demo_card,Restaurants,Wants
2023-11-02,10.49,chai,demo_card,Restaurants,Wants
2023-11-02,40.86,pho,demo_card,Restaurants,Wants
2023-11-02,99.26,east west market,demo_card,Groceries,Needs
2023-11-05,31.06,evo,demo_card,Transportation,Needs
2023-11-07,85.33,urban outfitters,demo_card,Shopping,Wants
2023-11-09,219.88,westjet,demo_card,Travel,Wants
2023-11-09,11.84,shell,demo_card,Transportation,Needs
2023-11-10,58.85,mcdonald's,demo_card,Restaurants,Wants
2023-11-10,24.63,evo,demo_card,Transportation,Needs
2023-11-10,15.6,transit,demo_card,Transportation,Needs
2023-11-14,48.6,pho,demo_card,Restaurants,Wants
2023-11-16,32.37,uber eats,demo_card,Restaurants,Wants
2023-11-19,153.23,thrift,demo_card,Shopping,Wants
2023-11-20,46.22,esso,demo_card,Transportation,Needs
2023-11-20,86.47,solo market,demo_card,Groceries,Needs
2023-11-22,45.87,misc expense,demo_card,Miscellaneous,Wants
2023-11-22,48.52,lyft,demo_card,Transportation,Needs
2023-11-22,93.22,pne,demo_card,Recreation/entertainment,Wants
2023-11-23,81.85,bosa foods,demo_card,Groceries,Needs
2023-11-23,49.82,health,demo_card,Wellbeing/Health Care,Needs
2023-11-25,121.93,bosa foods,demo_card,Groceries,Needs
2023-11-27,514.1,amtrak,demo_card,Travel,Wants
2023-11-27,11.49,cafe,demo_card,Restaurants,Wants
2023-12-03,6.11,uber,demo_card,Transportation,Needs
2023-12-04,24.77,winners,demo_card,Shopping,Wants
2023-12-06,95.57,real canadian superstore,demo_card,Groceries,Needs
2023-12-10,196.76,gap,demo_card,Shopping,Wants
2023-12-13,25.8,shell,demo_card,Transportation,Needs
2023-12-17,35.34,uber eats,demo_card,Restaurants,Wants
2023-12-18,15.68,parking,demo_card,Transportation,Needs
2023-12-19,29.91,dentist,demo_card,Wellbeing/Health Care,Needs
2023-12-19,39.29,costco,demo_card,Groceries,Needs
2023-12-21,100.53,safeway,demo_card,Groceries,Needs
2023-12-22,128.21,aritzia,demo_card,Shopping,Wants
2023-12-23,153.46,urban outfitters,demo_card,Shopping,Wants
2023-12-25,68.22,thrift,demo_card,Shopping,Wants
2023-12-27,36.04,amazon,demo_card,Shopping,Wants
2023-12-27,142.67,safeway,demo_card,Groceries,Needs
2023-12-27,183.52,muji,demo_card,Shopping,Wants
2023-12-29,65.89,concert,demo_card,Recreation/entertainment,Wants
2023-12-30,102.72,massage,demo_card,Wellbeing/Health Care,Needs
2023-12-31,197.04,aritzia,demo_card,Shopping,Wants
2023-12-31,26.86,superstore,demo_card,Groceries,Needs
2024-01-01,75.84,pharmacy,demo_card,Wellbeing/Health Care,Needs
2024-01-01,130.31,superstore,demo_card,Groceries,Needs
2024-01-02,149.52,east west market,demo_card,Groceries,Needs
2024-01-02,42.89,kfc,demo_card,Restaurants,Wants
2024-01-05,12.55,honk,demo_card,Transportation,Needs
2024-01-05,48.79,pharmacy,demo_card,Wellbeing/Health Care,Needs
2024-01-09,15.69,kfc,demo_card,Restaurants,Wants
2024-01-09,105.62,vintage,demo_card,Shopping,Wants
2024-01-10,113.84,food hub market,demo_card,Groceries,Needs
2024-01-11,67.83,whole foods,demo_card,Groceries,Needs
2024-01-12,21.84,burger,demo_card,Restaurants,Wants
2024-01-12,74.93,superstore,demo_card,Groceries,Needs
2024-01-13,16.33,pizza,demo_card,Restaurants,Wants
2024-01-14,80.2,dentist,demo_card,Wellbeing/Health Care,Needs
2024-01-16,23.35,uber eats,demo_card,Restaurants,Wants
2024-01-24,14.24,mobi,demo_card,Transportation,Needs
2024-01-24,18.24,tim hortons,demo_card,Restaurants,Wants
2024-01-27,45.06,misc expense,demo_card,Miscellaneous,Wants
2024-01-28,99.07,winners,demo_card,Shopping,Wants
2024-01-29,41.25,taxi,demo_card,Transportation,Needs
2024-01-29,46.12,no frills,demo_card,Groceries,Needs
2024-01-30,20.07,lyft,demo_card,Transportation,Needs
2024-02-02,86.0,costco,demo_card,Groceries,Needs
2024-02-02,38.53,ramen,demo_card,Restaurants,Wants
2024-02-04,48.87,subway,demo_card,Restaurants,Wants
2024-02-06,15.03,compass,demo_card,Transportation,Needs
2024-02-07,174.48,london drugs,demo_card,Shopping,Wants
2024-02-07,116.79,east west market,demo_card,Groceries,Needs
2024-02-07,39.86,uber eats,demo_card,Restaurants,Wants
2024-02-12,87.34,pharmacy,demo_card,Wellbeing/Health Care,Needs
2024-02-15,43.61,uber eats,demo_card,Restaurants,Wants
2024-02-15,39.81,solo market,demo_card,Groceries,Needs
2024-02-17,57.46,no frills,demo_card,Groceries,Needs
2024-02-19,97.05,kin's farm,demo_card,Groceries,Needs
2024-02-19,21.79,misc expense,demo_card,Miscellaneous,Wants
2024-02-21,118.02,dentist,demo_card,Wellbeing/Health Care,Needs
2024-02-21,27.07,ramen,demo_card,Restaurants,Wants
2024-02-23,39.91,misc expense,demo_card,Miscellaneous,Wants
2024-02-24,22.14,tim hortons,demo_card,Restaurants,Wants
2024-02-24,91.25,concert,demo_card,Recreation/entertainment,Wants
2024-02-26,469.68,airbnb,demo_card,Travel,Wants
2024-02-27,41.88,superstore,demo_card,Groceries,Needs
2024-03-04,26.16,parking,demo_card,Transportation,Needs
2024-03-05,44.87,pharmacy,demo_card,Wellbeing/Health Care,Needs
2024-03-05,31.1,esso,demo_card,Transportation,Needs
2024-03-06,200.7,bc ferries,demo_card,Travel,Wants
2024-03-12,106.73,thrift,demo_card,Shopping,Wants
2024-03-13,104.77,ikea,demo_card,Shopping,Wants
2024-03-16,38.13,dental,demo_card,Wellbeing/Health Care,Needs
2024-03-16,96.65,dentist,demo_card,Wellbeing/Health Care,Needs
2024-03-17,113.48,real canadian superstore,demo_card,Groceries,Needs
2024-03-18,42.72,grandview lanes,demo_card,Recreation/entertainment,Wants
2024-03-18,48.56,misc expense,demo_card,Miscellaneous,Wants
2024-03-21,45.75,pne,demo_card,Recreation/entertainment,Wants
2024-03-23,15.25,honk,demo_card,Transportation,Needs
2024-03-23,38.34,uber,demo_card,Transportation,Needs
2024-03-24,130.46,muji,demo_card,Shopping,Wants
2024-03-26,47.84,transit,demo_card,Transportation,Needs
2024-03-28,34.05,cafe,demo_card,Restaurants,Wants
2024-03-28,36.91,taxi,demo_card,Transportation,Needs
2024-04-02,43.95,lyft,demo_card,Transportation,Needs
2024-04-03,11.6,taxi,demo_card,Transportation,Needs
2024-04-03,50.17,cafe,demo_card,Restaurants,Wants
2024-04-03,173.86,london drugs,demo_card,Shopping,Wants
2024-04-04,37.96,evo,demo_card,Transportation,Needs
2024-04-09,10.52,transit,demo_card,Transportation,Needs
2024-04-09,108.33,urban outfitters,demo_card,Shopping,Wants
2024-04-11,4.71,uber,demo_card,Transportation,Needs
2024-04-12,34.4,safeway,demo_card,Groceries,Needs
2024-04-14,46.26,concert,demo_card,Recreation/entertainment,Wants
2024-04-14,29.25,pub,demo_card,Restaurants,Wants
2024-04-16,26.79,gelato,demo_card,Restaurants,Wants
2024-04-16,27.87,transit,demo_card,Transportation,Needs
2024-04-16,39.23,hotpot,demo_card,Restaurants,Wants
2024-04-17,4.97,esso,demo_card,Transportation,Needs
2024-04-17,59.92,walmart,demo_card,Groceries,Needs
2024-04-17,30.53,misc expense,demo_card,Miscellaneous,Wants
2024-04-19,73.58,marketplace iga,demo_card,Groceries,Needs
2024-04-21,42.75,mobi,demo_card,Transportation,Needs
2024-04-23,20.25,uber,demo_card,Transportation,Needs
2024-04-24,57.02,tim hortons,demo_card,Restaurants,Wants
2024-04-28,96.95,marketplace iga,demo_card,Groceries,Needs
2024-04-28,45.98,misc expense,demo_card,Miscellaneous,Wants
2024-05-01,29.91,honk,demo_card,Transportation,Needs
2024-05-05,20.18,compass,demo_card,Transportation,Needs
2024-05-05,14.39,lyft,demo_card,Transportation,Needs
2024-05-05,143.01,real canadian superstore,demo_card,Groceries,Needs
2024-05-06,79.15,health,demo_card,Wellbeing/Health Care,Needs
2024-05-07,57.36,costco,demo_card,Groceries,Needs
2024-05-07,32.27,subway,demo_card,Restaurants,Wants
2024-05-08,54.3,safeway,demo_card,Groceries,Needs
2024-05-08,50.9,noodles,demo_card,Restaurants,Wants
2024-05-08,28.0,persia foods,demo_card,Groceries,Needs
2024-05-09,27.86,taxi,demo_card,Transportation,Needs
2024-05-09,14.66,esso,demo_card,Transportation,Needs
2024-05-10,24.25,misc expense,demo_card,Miscellaneous,Wants
2024-05-11,53.76,hotpot,demo_card,Restaurants,Wants
2024-05-11,32.02,massage,demo_card,Wellbeing/Health Care,Needs
2024-05-12,29.75,pizza,demo_card,Restaurants,Wants
2024-05-13,42.75,bicycle rentals,demo_card,Recreation/entertainment,Wants
2024-05-14,56.54,no frills,demo_card,Groceries,Needs
2024-05-17,38.44,hotpot,demo_card,Restaurants,Wants
2024-05-17,16.48,door dash,demo_card,Restaurants,Wants
2024-05-17,42.86,mobi,demo_card,Transportation,Needs
2024-05-18,45.56,grandview lanes,demo_card,Recreation/entertainment,Wants
2024-05-21,143.75,t&t supermarket,demo_card,Groceries,Needs
2024-05-22,70.67,food hub market,demo_card,Groceries,Needs
2024-05-23,80.34,loblaws,demo_card,Groceries,Needs
2024-05-28,65.34,shoppers drug mart,demo_card,Shopping,Wants
2024-05-29,42.79,misc expense,demo_card,Miscellaneous,Wants
2024-06-02,62.31,urban outfitters,demo_card,Shopping,Wants
2024-06-03,104.87,clinic,demo_card,Wellbeing/Health Care,Needs
2024-06-05,37.84,uber,demo_card,Transportation,Needs
2024-06-05,13.45,uber,demo_card,Transportation,Needs
2024-06-07,166.89,ikea,demo_card,Shopping,Wants
2024-06-08,27.17,esso,demo_card,Transportation,Needs
2024-06-08,60.88,escape room,demo_card,Recreation/entertainment,Wants
2024-06-10,49.63,cactus club,demo_card,Restaurants,Wants
2024-06-13,18.58,evo,demo_card,Transportation,Needs
2024-06-13,10.63,pub,demo_card,Restaurants,Wants
2024-06-15,86.73,nike,demo_card,Shopping,Wants
2024-06-18,99.83,bosa foods,demo_card,Groceries,Needs
2024-06-21,25.34,evo,demo_card,Transportation,Needs
2024-06-23,49.88,cineplex,demo_card,Recreation/entertainment,Wants
2024-06-26,56.83,walmart,demo_card,Groceries,Needs
2024-06-26,145.95,dollarama,demo_card,Shopping,Wants
2024-06-27,70.98,persia foods,demo_card,Groceries,Needs
2024-06-28,178.4,london drugs,demo_card,Shopping,Wants
2024-06-28,324.62,flair,demo_card,Travel,Wants
2024-06-29,49.63,dental,demo_card,Wellbeing/Health Care,Needs
2024-06-29,109.68,dental,demo_card,Wellbeing/Health Care,Needs
2024-06-30,33.88,london drugs,demo_card,Shopping,Wants
2024-06-30,108.25,marketplace iga,demo_card,Groceries,Needs
2024-06-30,11.45,taxi,demo_card,Transportation,Needs
2024-07-02,109.53,whole foods,demo_card,Groceries,Needs
2024-07-03,88.79,dollarama,demo_card,Shopping,Wants
2024-07-03,42.94,burger,demo_card,Restaurants,Wants
2024-07-04,30.65,chai,demo_card,Restaurants,Wants
2024-07-06,172.9,thrift,demo_card,Shopping,Wants
2024-07-07,12.54,compass,demo_card,Transportation,Needs
2024-07-08,192.53,nike,demo_card,Shopping,Wants
2024-07-09,54.75,sushi,demo_card,Restaurants,Wants
2024-07-13,129.64,ikea,demo_card,Shopping,Wants
2024-07-13,79.5,escape room,demo_card,Recreation/entertainment,Wants
2024-07-14,48.04,gelato,demo_card,Restaurants,Wants
2024-07-15,91.87,walmart,demo_card,Groceries,Needs
2024-07-15,28.31,hotpot,demo_card,Restaurants,Wants
2024-07-20,49.9,taxi,demo_card,Transportation,Needs
2024-07-21,23.3,noodles,demo_card,Restaurants,Wants
2024-07-23,64.73,bicycle rentals,demo_card,Recreation/entertainment,Wants
2024-07-26,22.43,uber,demo_card,Transportation,Needs
2024-07-26,47.41,honk,demo_card,Transportation,Needs
2024-07-26,22.39,rec room,demo_card,Recreation/entertainment,Wants
2024-07-28,282.48,flair,demo_card,Travel,Wants
2024-07-28,103.78,muji,demo_card,Shopping,Wants
2024-07-31,49.71,bicycle rentals,demo_card,Recreation/entertainment,Wants
2024-08-01,19.83,subway,demo_card,Restaurants,Wants
2024-08-01,183.5,vintage,demo_card,Shopping,Wants
2024-08-02,23.07,t&t supermarket,demo_card,Groceries,Needs
2024-08-02,125.06,save on foods,demo_card,Groceries,Needs
2024-08-03,46.38,pharmacy,demo_card,Wellbeing/Health Care,Needs
2024-08-03,12.0,misc expense,demo_card,Miscellaneous,Wants
2024-08-05,97.93,vintage,demo_card,Shopping,Wants
2024-08-07,111.78,save on foods,demo_card,Groceries,Needs
2024-08-07,49.4,london drugs,demo_card,Shopping,Wants
2024-08-07,130.78,gap,demo_card,Shopping,Wants
2024-08-08,19.87,shell,demo_card,Transportation,Needs
2024-08-09,96.9,no frills,demo_card,Groceries,Needs
2024-08-09,31.75,evo,demo_card,Transportation,Needs
2024-08-14,117.56,save on foods,demo_card,Groceries,Needs
2024-08-16,150.64,nike,demo_card,Shopping,Wants
2024-08-17,17.21,tacos,demo_card,Restaurants,Wants
2024-08-18,45.11,misc expense,demo_card,Miscellaneous,Wants
2024-08-18,26.11,marketplace iga,demo_card,Groceries,Needs
2024-08-19,334.14,amtrak,demo_card,Travel,Wants
2024-08-19,46.54,pub,demo_card,Restaurants,Wants
2024-08-20,59.89,mcdonald's,demo_card,Restaurants,Wants
2024-08-20,35.07,evo,demo_card,Transportation,Needs
2024-08-21,24.36,superstore,demo_card,Groceries,Needs
2024-08-21,144.64,marketplace iga,demo_card,Groceries,Needs
2024-08-26,56.58,sushi,demo_card,Restaurants,Wants
2024-08-27,55.09,uber eats,demo_card,Restaurants,Wants
2024-08-28,73.16,walmart,demo_card,Groceries,Needs
2024-08-30,190.98,vintage,demo_card,Shopping,Wants
